gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000258285.1_ASM25828v1_genomic_CDS_0001	AJKG01000003.1	145	1035	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3439	1	shell	1	2	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0002	AJKG01000003.1	1056	1325	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3440	1	shell	1	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0003	AJKG01000003.1	1328	3058	+	GCA_000751715.1_HGAP_corrected_genomic_CDS_1888	1	shell	0	2	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0004	AJKG01000003.1	3086	3853	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_5050	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0005	AJKG01000003.1	3850	5154	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_5051	1	shell	0	2	13
GCA_000258285.1_ASM25828v1_genomic_CDS_0006	AJKG01000005.1	39	236	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_3845	1	cloud	0	2	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0007	AJKG01000005.1	393	1121	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_3846	1	shell	0	2	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0008	AJKG01000005.1	1127	1675	+	GCA_000412735.1_pagenome_genomic_CDS_4985	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0009	AJKG01000005.1	1723	2553	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_3848	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0010	AJKG01000005.1	2583	3041	+	GCA_000496325.1_MDRPA05_genomic_CDS_4482	1	shell	0	3	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0011	AJKG01000005.1	3869	5788	+	GCA_000335395.3_ASM33539v3_genomic_CDS_3871	1	shell	0	2	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0012	AJKG01000005.1	6095	6304	+	GCA_001007345.1_ASM100734v1_genomic_CDS_4968	1	cloud	0	3	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0013	AJKG01000005.1	6526	8415	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3450	1	shell	0	2	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0014	AJKG01000005.1	8412	10388	+	GCA_000335395.3_ASM33539v3_genomic_CDS_3874	1	shell	0	2	4
